SchoolDist,Shape_Leng,Shape_Area
20,95518.383403800005908,242721377.613999992609024
11,308390.187430999998469,392778503.779999971389771
23,39649.637085199996363,47359862.325300000607967
15,153343.310965000011493,196166079.930000007152557
29,134839.871916000003694,420078505.648000001907349
26,126034.645627000005334,425169278.595000028610229
32,36951.691018099998473,52025079.15089999884367
28,113562.629864000002271,247532501.816000014543533
9,46609.472498199997062,83449800.812900006771088
25,176359.958486999996239,443695665.401000022888184
8,223007.560115000000224,258980971.580000013113022
4,52056.335791999998037,52623200.982900001108646
18,119882.882962000003317,173513324.118000000715256
19,172477.996684999990975,226689418.40200001001358
17,67905.902317500003846,128485190.243000000715256
22,271655.203416000003926,385672375.505999982357025
13,86478.872020900002099,104869836.578999996185303
6,70463.214240000001155,96345998.656499996781349
12,48425.652011099999072,69074609.469799995422363
10,94951.317953899997519,282525485.648999989032745
24,127476.238114000007045,394852290.749000012874603
30,150941.617171999998391,318235136.75
14,96633.768537500000093,150340048.349999994039536
16,35467.840568500003428,46762853.893799997866154
3,52071.612946300003387,113488232.959999993443489
5,44484.979524900001707,52515568.520400002598763
1,28614.857644899999286,35162014.235100001096725
2,213660.745717000012519,280355259.728999972343445
27,575284.928164000040852,800881456.468000054359436
21,123713.522563999998965,210161974.21900001168251
31,434423.551940999983344,1604406402.849999904632568
7,65427.533274399997026,92231356.687099993228912
10,7881.130343709999579,3272771.884449999779463
